CommunityHeirarchy,CommunityId,Rep_X,Rep_Y,Rep_Z
community1,0.0,111.64610243483475,32.41607161197625,46.888182679504666
community1,1.0,65.11893417062454,137.16881787866663,85.78510194192779
community1,2.0,119.46988943326664,107.39770767014042,130.45288851022042
community1,3.0,52.09570958129223,74.10237285998097,137.39565250337535
community1,4.0,44.56969158878039,18.645721191006913,76.61664483678776
community1,5.0,11.486630793271095,88.4435726637762,74.48129611595667
community1,6.0,51.51487351887631,79.07712262483888,15.014688025436744
community1,7.0,170.04042156876804,65.94460081494712,92.57384510912138
community1,8.0,118.17937594754636,110.62462566840968,48.22098700657783
community1,9.0,107.05889467028088,25.21650149783155,123.70740496786111
