CommunityHeirarchy,CommunityId,Rep_X,Rep_Y,Rep_Z
community2,10.0,116.67992777777775,8.970748527333335,70.98066699555555
community2,11.0,99.1259118518519,59.578431740740804,31.65930312296295
community2,12.0,141.69803563636358,39.8843431818182,48.045659166666674
community2,13.0,88.60068734489792,16.188125660612236,44.19402344285714
community2,14.0,138.5877275192309,18.79543824230767,69.16818481923076
community2,15.0,117.25121192063489,39.538220919047646,30.671962936507956
community2,16.0,83.47206615924425,36.99106926855598,35.32685788663967
community2,17.0,96.51365670416662,2.776134159070831,63.955404127083376
community2,18.0,117.74615673770481,16.787822476885243,43.74828018852459
community2,19.0,119.72203530357139,64.92417974821423,48.521597901785725
community2,20.0,63.36781950769234,141.80492007692303,96.21569035961531
community2,21.0,60.352945644186065,144.14865706976758,71.15420380930232
community2,22.0,36.79750187601627,134.21737497967482,82.38695786178859
community2,23.0,98.37477781944438,140.90709612847235,87.38786764236114
community2,24.0,40.12516813235293,126.82089347426472,109.24282141176468
community2,25.0,69.01167094347822,136.45640080434794,46.584773789130416
community2,26.0,64.49345742585548,129.92454733840316,122.75592032319379
community2,27.0,85.32658466279075,138.74358829457353,108.26321356201552
community2,28.0,42.83526608533917,135.02624120350112,52.272654763676194
community2,29.0,84.77234779591832,144.9663743673469,67.73828136734693
community2,30.0,118.6393890359168,131.9411697920605,104.20259754820422
community2,31.0,112.4615228425531,75.20197194468084,150.76368568085127
community2,32.0,88.05371555793226,116.63203814616764,136.70441645276304
community2,33.0,149.60501004166656,103.93022574166667,127.06351966666675
community2,34.0,141.54579647999986,77.998601548,143.32640929999997
community2,35.0,121.25466553061234,99.24887735102043,142.80106789795934
community2,36.0,122.01267245508991,117.82819141716561,127.96244201596816
community2,37.0,144.4086963127411,121.72305905405388,104.11302037258689
community2,38.0,100.9991706271551,128.64110489224137,122.24374978448276
community2,39.0,97.16080372536693,96.54189108595392,148.63644528301896
community2,40.0,55.623498407692246,86.54531784230771,144.91408957692306
community2,41.0,34.2051442568182,46.14403983636363,126.83641813636365
community2,42.0,71.5673924717669,54.180632167577436,148.7138507650274
community2,43.0,30.62768856981131,85.37432376981127,126.82889862264147
community2,44.0,66.09666533214913,107.10780686323265,140.4574073889875
community2,45.0,40.279264762264226,107.61930831509436,127.49559288679261
community2,46.0,82.12581672195886,76.9693167898895,152.35389374407586
community2,47.0,23.766062267441843,63.13778997209302,119.95159286046507
community2,48.0,53.17028935714292,36.98022264081631,135.5839657346939
community2,49.0,47.599349348000004,65.17847366799998,142.52871972000008
community2,50.0,75.35455850892856,1.7345111279875007,78.07718736785705
community2,51.0,25.921721936734706,30.501466973469405,46.289900938775524
community2,52.0,43.629923998069536,20.668366407335917,114.75619345559846
community2,53.0,34.38289494680849,18.052691729574473,88.2758549425532
community2,54.0,44.98763908178441,11.224770578252798,67.90245948327144
community2,55.0,21.630479154000014,36.65292901600001,100.58261526800008
community2,56.0,60.574043127272716,7.067336142545455,99.12136330181808
community2,57.0,49.757344429545476,21.956160375000007,37.442317129545465
community2,58.0,66.49163706639004,9.462566191701242,54.7202046991701
community2,59.0,16.41221464787233,34.00449265744681,70.07308195319149
community2,60.0,7.025226608936171,58.16540975531918,52.14716529148936
community2,61.0,14.697573829133859,116.99295918635173,67.14320767716536
community2,62.0,5.991466194617566,95.26313713597733,82.80702870254954
community2,63.0,7.772695426888885,56.89164352444447,86.98366687777785
community2,64.0,19.603067969047654,100.72942469047616,107.14355930476202
community2,65.0,8.694693837560973,90.23846428292683,42.72494006341457
community2,66.0,1.5484512861049995,79.77876610000003,66.25782343750004
community2,67.0,12.588053161333333,73.04818589999998,101.90990655777787
community2,68.0,20.531722664769664,117.00301338753398,46.526288314363164
community2,69.0,18.580739090090088,115.7827071471471,90.37219830930925
community2,70.0,45.62983311923081,75.48927450384615,7.243207430576921
community2,71.0,44.51906160227276,124.24462359090909,26.0892536840909
community2,72.0,70.69674737608698,78.06150785434785,2.3893616938826083
community2,73.0,47.158147654166605,38.97726359583336,14.249355931250012
community2,74.0,22.06692459142857,78.85619272857153,23.54593545142858
community2,75.0,64.60170918070177,109.3320040491229,10.760299951754375
community2,76.0,70.00355590000005,49.3860254630435,9.825686743478265
community2,77.0,24.981993264583327,51.6062049625,25.184348133333344
community2,78.0,88.61675258503392,78.98184158049891,17.57061556485259
community2,79.0,30.088171670281977,103.86042607592204,17.532637772017353
community2,80.0,171.5044497500001,44.34768686041669,109.93149446041662
community2,81.0,169.16616448387097,87.72367382258068,62.112108290322595
community2,82.0,168.64033248571423,108.86095099142867,98.78271107428576
community2,83.0,169.5551267674418,37.42214729069768,72.606365355814
community2,84.0,159.61464010309282,24.13727120360825,92.65712695103105
community2,85.0,174.77000276470582,82.92273025294107,116.0814320156863
community2,86.0,183.6104642857144,65.24384982040809,85.16209981428568
community2,87.0,160.3830605333333,59.093723924444404,131.38733939999997
community2,88.0,177.31820510256412,99.55097484615388,80.65258477435893
community2,89.0,161.7282853333334,62.71668571538458,57.492233694871835
community2,90.0,118.88045423076913,108.2132217660256,30.221781107371818
community2,91.0,110.50770233962257,137.61443897274643,62.070461287211806
community2,92.0,152.85267285714298,118.89201828571429,69.227151544898
community2,93.0,101.30258394025607,87.00444802275955,32.216798682788045
community2,94.0,100.24366074285714,132.51110860714294,41.88398279642861
community2,95.0,119.77077710958896,78.24553225068493,48.17620800821917
community2,96.0,87.1818773600629,113.5189271996855,35.52533240094338
community2,97.0,143.46157790909092,96.11879917090906,48.58793275454545
community2,98.0,127.52529328646747,131.30264790861142,78.23328372056245
community2,99.0,130.84044964406786,122.38137055932222,48.15363002542374
community2,100.0,73.39826266104295,18.1104738297546,126.71942995398763
community2,101.0,137.48214016985125,29.583481573248392,125.87328343949055
community2,102.0,88.4709870051724,7.027929011206889,103.89673660862069
community2,103.0,107.40791205072463,51.49972883514495,149.15292652173926
community2,104.0,110.92764617659572,7.814649964680848,92.15942073829785
community2,105.0,105.8389208,26.346406601851875,134.55490131481488
community2,106.0,133.22582093333335,47.89953317777776,141.40468433333336
community2,107.0,84.8985462965235,36.573266562372176,142.55513633946828
community2,108.0,111.53678972102165,14.466436305304526,115.92392463654222
community2,109.0,137.65232371681418,16.139057362831846,102.0518084933628
